place,type,rank
Ohio,state,1
Florida,state,2
California,state,3
Illinois,state,4
West Virginia,state,5
Columbus,city,1
Washington DC,city,2
Chicago,city,3
Charlotte,city,4
Miami,city,5
Lake Tahoe,site,1
Beaver Creek,site,2
Death Valley,site,3
Boyne Falls,site,4
Seven Springs,site,5
